EMAIL,RAZON_SOCIAL,DEPARTAMENTO,PROVINCIA
coopacma@gmail.com,COOPERATIVA AGRARIA CAFETALERA MONTAÑA AZUL LTDA. - COOPACMA,AMAZONAS,UTCUBAMBA
cecafe@cecafe.org,COOPERATIVA AGRARIA ECOLOGICA CAFETALERA DE LONYA GRANDE,AMAZONAS,UTCUBAMBA
cooppurifor@gmail.com,COOPERATIVA AGRARIA PURIFOR - COOP PURIFOR,ANCASH,BOLOGNESI
huarmeycoop@gmail.com,COOPERATIVA AGRARIA VALLE HUARMEY - CULEBRAS,ANCASH,HUARMEY
ebenezertintay@gmail.com,COSATIN LTDA.,APURIMAC,ABANCAY
vccasaq@hotmail.com,COOPERATIVA AGROINDUSTRIAL TIERRA ANDINA APURIMAC LTDA. - CATAA LTDA.,APURIMAC,ANDAHUAYLAS
cacviperu@yahoo.es,COOPERATIVA AGRARIA CAFETALERA VALLE DE INCAHUASI,APURIMAC,ANDAHUAYLAS
copagros2012@hotmail.com,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES TESORO CHANKA DE KISHUARA - COOPAGROS - KISHUARA,APURIMAC,ANDAHUAYLAS
jortizcoopagrarialoschankas@gmail.com,COOPERATIVA AGRARIA LOS CHANKAS - CAGCH,APURIMAC,ANDAHUAYLAS
cooperativa.machupicchu@gmail.com,COOPERATIVA AGROINDUSTRIAL MACHUPICCHU LTDA. - CAGMA,APURIMAC,ANDAHUAYLAS
coopsur15@gmail.com,COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES SUR ANDINO - COOPSUR,APURIMAC,ANDAHUAYLAS
pericoa11@hotmail.com,COOPERATIVA DE USUARIOS VEINTICUATRO DE JUNIO LIMITADA NRO.2,AREQUIPA,AREQUIPA
calem_10@hotmail.com,COOPERATIVA AGRARIA LA ESPERANZA ES MAJE,AREQUIPA,CAYLLOMA
aplelpedregal@hotmail.com,COOPERATIVA AGRARIA CAL PEDREGAL IRRIGACION MAJES COACPIM,AREQUIPA,CAYLLOMA
coopraos@hotmail.com,COOPERATIVA AGRARIA DE PRODUCTORES ORGANICOS DE LA SIERRA,AYACUCHO,HUAMANGA
irjayacucho@hotmail.com,COOPERATIVA AGRARIA VENCEDORES DE AYACUCHO LTDA.,AYACUCHO,HUAMANGA
coopearativaelapuchullo@gmail.com,COOPERATIVA AGRARIA DE PRODUCTORES ORGANICOS EL APU CHULLO DEL DISTRITO DE ACOCRO LTDA.,AYACUCHO,HUAMANGA
jescalantee@outlook.com,COOPERATIVA AGRARIA DE PRODUCTORES DEL DISTRITO DE TAMBILLO,AYACUCHO,HUAMANGA
cac_elquinacho@yahoo.es,COOPERATIVA AGRARIA CAFETALERA EL QUINACHO LTDA.N° 78,AYACUCHO,HUANTA
cacvra@yahoo.es,COOPERATIVA AGRARIA CAFET VALLE RIO APURIMAC,AYACUCHO,LA MAR
qalimijuy@gmail.com,COOPERATIVA QALI MIJUY,CUSCO,CALCA
