RAZON_SOCIAL,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO,MOVIL,FIJO,CORREO,WEB,RUC,DIRECCION
COOPERATIVA AGROPECUARIA EL IMPERIO DE KUELAP - LUYA- AMAZONAS,AMAZONAS,LUYA,TINGO,COOPERATIVAS AGROPECUARIAS,944356379,,,,20539208293,OTRO KUELAP SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA COLAN-COPALLIN,AMAZONAS,BAGUA,COPALLIN,COOPERATIVAS AGRARIAS,940177910,,INFO@COOPERATIVACOLAN.COM,WWW.COLANCOFFEANDCOCOABEANS.COM,20601370183,JIRÓN JOSE OLAYA 320 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA MONTAÑA AZUL LTDA. - COOPACMA,AMAZONAS,UTCUBAMBA,LONYA GRANDE,COOPERATIVAS AGRARIAS CAFETALERAS,968078951,,COOPACMA@GMAIL.COM,,20600200756,JIRÓN SAN FRANCISCO 240 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA PRODUCTORA COMERCIAL EXPORTADORA CAFE ANDES AMAZONICOS LTDA.,AMAZONAS,UTCUBAMBA,LONYA GRANDE,COOPERATIVAS AGRARIAS CAFETALERAS,983152684,,,,20600001109,JIRÓN DOS DE MAYO 419 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA ECOLOGICA CAFETALERA DE LONYA GRANDE,AMAZONAS,UTCUBAMBA,LONYA GRANDE,COOPERATIVAS AGRARIAS,976967619,,CECAFE@CECAFE.ORG,WWW.CECAFE.ORG,20561140091,JIRÓN DOS DE MAYO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA YUNGAY,AMAZONAS,UTCUBAMBA,LONYA GRANDE,COOPERATIVAS AGRARIAS,999846102,,,,20561344338,CALLE COMERCIO 701 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA  SELVA MAGICA DE MARISCAL RAMON CASTILLA LTDA.,LORETO,MARISCAL RAMON CASTILLA,RAMON CASTILLA,COOPERATIVAS AGRARIAS,965001281,,COOPASELMA.12@HOTMAIL.COM,,20600032675,CALLE RAMON CASTILLA 405 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA MONTE AZUL - MONTE AZUL COOP,SAN MARTIN,SAN MARTIN,TARAPOTO,COOPERATIVAS AGRARIAS,995692254,,MONTEAZULCOOP@YAHOO.COM,WWW.MONTEAZULCOOP.COM,20600847156,JIRÓN RAMON CASTILLA 1388 Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA APROECO,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,COOPERATIVAS AGRARIAS,969238821,042-561081,COOPERATIVAAGRARIA@APROECO.COM,WWW.APROECO.COM,20531360525,CARRETERA BAÑOS TERMALES SN Interior 0 Piso 3 Mza F Lote 4 Km 1
COOPERATIVA AGRARIA CAFETALERA ALTO MAYO,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,COOPERATIVAS AGRARIAS CAFETALERAS,939077347,,CACALTOMAYOGER@GMAIL.COM,,20542215501,JIRÓN 25 DE MAYO SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA CAFETALERA FE Y ESPERANZA VALLE DEL ALTO MAYO LTDA.,SAN MARTIN,MOYOBAMBA,MOYOBAMBA,COOPERATIVAS AGRARIAS CAFETALERAS,997035021,,CACFEVAM@HOTMAIL.COM,,20531479841,JIRÓN VENCEREMOS SN Interior  Piso 1 Mza  Lote  Km
COOPERATIVA AGRARIA DE SERVICIOS MULTIPLES CAFE DONCEL,SAN MARTIN,MOYOBAMBA,SORITOR,COOPERATIVAS AGRARIAS,952537917,,DONCEL_COFFEE@YAHOO.ES,WWW.CAFEDONCEL.ORG,20450319423,AVENIDA CAJAMARCA 1 Interior  Piso 2 Mza  Lote  Km
COOPERATIVA AGROECOLOGICA ÑUCÑU COFFEE - COPAGRO ÑUCÑU COFFEE,SAN MARTIN,RIOJA,NUEVA CAJAMARCA,COOPERATIVAS AGRARIAS,942681145,,COPAGRO.NC@GMAIL.COM,,20601252041,JIRÓN FRANCISCO BOLOGNESI 3 Interior  Piso 1 Mza  Lote  Km
